Factors,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL
Glycerol,105852.0877,61833.9944,94407.8479,87689.2146,67414.5794,65794.0003,60057.9573,73972.7194,62691.7441,99457.9947,60575.9981,125912.8344,77302.6706,103238.9550,167691.0645,110018.2314,92680.0004,79932.6778,89507.7582,86775.0114,139981.9493,124342.8240,149299.1008,57200.0002,107049.3888,90038.0004,223101.5845,184842.8005,111711.3782,115232.1151,157508.5719,234345.2041,125224.3200,101105.8288,121800.5233,78885.3451,77344.8640,66707.8088,77344.2933,98920.6506,148750.7345,99504.9063,66360.0003,68912.2262,60248.4952,116625.9944,72180.7053,83522.1924,83291.6789,148173.0006,143554.3168,117952.4251,170847.0682,184082.8915,130637.2497,120105.2775,127044.9263,262524.7029,109571.1824,188830.9531,84787.0003,127548.0005,85923.1194,145763.0092,146886.2046,113708.1890,148206.6995,92098.6334,95674.5285,225090.5486,101655.3496,142622.0873,80433.6214,123096.8379,78868.9640
Glycine,28542.9916,28062.9672,64021.4699,64313.2871,34202.7610,53980.2481,30797.9141,51906.6300,23900.7922,37542.3989,31441.6617,34466.9134,53257.3938,71817.4285,33006.5503,25702.6838,39747.1372,44070.1331,24853.0965,61464.8222,57542.8170,82798.9061,46848.2844,18826.4350,36682.1112,32241.6972,36748.7736,326958.4148,69613.8163,39339.3202,184793.9980,84760.0992,115309.5721,49049.1054,1377.3629,68724.1296,19612.8596,30821.3856,79452.4311,44730.5716,55829.5731,46839.3420,39915.9759,47877.1374,26923.1796,25257.9367,57383.4104,53305.1472,62670.7128,47513.3105,63646.6390,46061.1106,62587.2087,43326.4677,31649.6413,174236.7162,36593.3597,173652.0407,40670.9845,68040.2310,34281.0770,48892.2357,96229.2375,107104.8355,25420.4741,114624.5955,48517.4658,56705.7295,58667.6608,135415.8880,98568.4907,52534.3260,30373.1361,90917.5141,89438.2344
Histidine,9859.6258,6497.1059,8715.5702,10675.1565,8292.9328,10023.8266,4926.6028,10586.2617,6163.7843,6528.8303,10414.6067,21030.9495,25504.9045,13333.4162,10221.9673,13145.3323,13953.6710,20437.8193,8305.6378,15025.1530,20382.8407,18273.7943,25755.6213,7453.4181,17828.5748,16058.2993,14981.0877,61913.9819,26876.6239,12751.2186,83569.3621,60415.6735,37448.4641,42156.6775,20338.8486,8913.7097,5938.0301,11442.0002,10467.9607,6505.5276,14237.6040,17207.8997,8836.2893,9928.5541,7048.8249,9151.3914,10266.0310,14653.6596,14689.6512,11748.4218,11643.9073,24379.3690,34023.1463,18644.1819,15848.1263,17499.7921,12176.2839,40900.3423,18987.0679,22268.4694,14022.5638,30236.4728,30828.5792,50419.5946,24471.3572,16369.0799,15277.8972,15400.1059,24460.8964,51237.9659,25085.2007,30562.0015,13353.9972,41761.7744,10566.1908
Hypoxanthine,3630.0015,3233.3802,4569.6224,4031.8150,1519.9685,1484,5393.2636,5972.7193,978.9818,5009.7525,2905.9997,5854.0562,4355.0185,10920.9996,3065.9040,2276.9997,1605,6486.2052,3355.4745,3819.0012,6856.1730,33186.7357,1242.0564,3232,4013.0438,3207,3210.9335,4128.3183,3223.9322,3798.2085,2880.4939,2815.0955,7014.9974,3244.4873,10025.8573,1606.5623,1219.9706,3507.2960,4846.1954,5946.8347,1823.9109,11409.8431,4562,4850.9511,4629.3052,6672.5132,4585.1961,6899.8607,6287.6718,5797,5213.1050,3195.4982,5113.8939,1924.9962,1791.9965,4560.2054,23929.3596,3136.9981,22209.9902,10751.8525,3415,3217,3820.5913,8149.0003,2962.1076,6358.2835,1636.1276,6547.0438,3854.5736,3618.4437,5840.9618,4441.3787,2896.5939,3531.3637,2574.0690
Isoleucine,21244.4754,26771.0783,25221.5474,37496.3098,22320.7694,21965.3380,22686.2126,35842.2352,19069.5569,22276.5643,18917.1906,36785.4768,34027.9722,24415.6032,24227.9316,37075.5315,34147.5785,38830.4168,22303.2000,32996.3767,40582.9868,36165.1706,33200.0113,21823.4838,53372.2744,42556.9197,39705.7376,47031.3933,28737.6858,49627.9448,33484.3198,44935.7394,27931.6622,60875.0156,75587.2670,12318.5662,18835.7339,29790.8713,22862.9485,26884.5645,35006.4204,36860.5666,17096.1097,14678.8150,18406.5054,23256.7310,34327.9150,41466.2125,25475.1946,23538.4879,32189.9935,27023.5909,47235.3143,28098.5832,29327.2299,36584.1237,27947.3988,36240.3403,55894.4686,44973.3754,53666.4519,53628.3375,27788.6454,41377.8987,62635.3813,17326.7714,38363.7430,33171.7538,40966.3960,53621.9368,25593.0654,47485.7944,23635.4366,41761.2288,14767.3168
Itaconic acid,9987.7117,9590.0812,8134.3883,9933.7486,8719.5598,10748.3267,10220.3407,13013.2926,8182.4736,7533.1566,9169.4472,8825.8533,10583.3687,10050.7013,14029.0018,8954.0707,9927.8020,14412.3822,9628.8489,9438.1121,10588.6316,15906.1635,9541.2705,9075.4001,12336.3852,11390.3798,9793.8065,13283.0498,9239.6133,10739.0194,13482.6779,12025.4766,11649.8265,12701.6113,18636.8668,13546.6004,10878.2701,9597.7412,8801.2956,9212.3686,12578.4605,15640.9094,8661.7836,9694.3808,12251.5423,10972.4124,8871.0656,10270.0427,8615.7444,9445.7690,9903.5605,9534.1465,11126.2758,7712.1857,10658.3445,8111.6758,11895.7467,10053.3013,11188.4466,15691.6007,8023.5171,12023.3983,12296.6395,10215.9833,10254.4086,10843.5361,10596.2453,9202.4443,13312.3953,10032.5996,9061.3207,11183.2273,8487.2014,14209.6234,10855.8028
Lactamide,27323.4852,26042.3049,32984.6512,57674.0443,64110.2443,47557.5044,40197.1629,36915.2082,35164.1041,29372.4199,57135.8019,63682.5425,53526.5551,45986.6350,30489.8395,39014.8834,63850.0590,48573.5418,37644.8165,54288.9210,37596.9898,45987.5087,52358.1183,49468.5547,37685.4878,76349.4385,54208.8897,72913.4563,57725.6537,39867.0722,62688.0095,55168.3523,123964.3004,45844.5240,17589.2631,39159.4377,30876.0724,36759.3748,51628.6015,61984.0848,39640.9788,31184.4090,43553.3233,88042.0938,52560.3524,37015.6926,45593.1141,48600.9708,26898.1145,83333.5318,26762.1162,219472.2380,61269.9756,103277.7006,105226.5704,78224.0889,112566.1403,110770.0503,27862.2898,75709.8559,58277.5297,95425.4999,49109.5870,158925.5333,41920.8178,122636.8003,92037.9637,49571.1597,100793.8273,89556.2040,55587.7600,48903.7356,40645.6886,26957.4434,58765.6407
Lactic acid,1017895.8130,1225662.6700,2328359.7150,1878619.4910,1382905.4000,818627.8474,1298074.6010,1538106.2080,889938.0601,1132611.6160,1297353.7620,2418614.3550,2653455.9170,1828350.4840,2176998.7500,1741422.6260,1037970.0610,2016987.1950,739960.6059,1905240.4770,1641426.7160,3832221.4640,3286416.7830,1221090.6420,1716287.1450,2654426.1510,2454967.6290,2965302.3210,2635695.3470,1813849.7220,1318053.2530,3144644.1270,4396603.3880,2103336.0680,3348105.6230,1165842.1690,913283.0004,1366284.9190,1152348.3140,2212034.3810,1126084.2380,2140243.2570,974150.5436,1949081.6100,1589107.5540,1088581.0290,3378222.4110,2181275.9790,992466.3391,989833.8395,2033492.0720,2248696.0810,3410971.7940,1220868.1460,981423.6559,1740733.1480,1824973.4930,2046229.3950,2617755.2280,3073401.9340,1613750.2690,4054243.8210,1916424.3780,2849997.7270,1803596.8380,2180151.7490,1027671.4580,3084554.5760,1560870.6040,3546537.7220,1739533.0740,2340341.8390,1683977.9260,3944247.0130,1123565.4180
Leucine,128392.8217,146543.2184,208442.6556,254732.2765,156226.4801,141390.0508,119786.2978,200908.5493,112566.8345,144581.6542,156132.9894,229444.1147,246016.2753,187026.5711,129080.7361,240399.3246,214705.6084,248110.6682,116798.9413,321577.5193,261565.0132,244575.3796,220810.4078,128285.5437,345271.6782,324518.4501,264609.8089,522401.3580,284042.8173,291482.1841,374233.9804,370705.8318,320460.9049,374988.8360,123939.6206,128408.8235,98577.0237,191729.9583,140926.0987,172885.9079,255261.3607,221052.4588,151464.5305,229516.9837,133926.6970,144327.0189,259284.1014,277073.6306,156767.0818,196309.4821,199289.7815,227991.1375,336050.1747,225064.5384,203994.2195,373837.2053,254737.4877,322293.2275,375567.2332,286193.4069,336502.5402,394692.8002,271882.4366,281066.6639,336253.5429,195115.8663,278185.6826,360224.3079,265404.5650,422837.4473,202926.2124,277648.7142,168175.5274,298917.8071,136453.0652
Linoleic acid,16568.1936,7237.1686,9931.3881,12121.2422,4790.7616,9665.1138,11147.3940,5854.7458,5796.9076,19287.7696,4547.5259,29210.1196,8895.7637,28987.4433,32142.8606,26117.7035,12828.5326,6222.7487,7352.5002,8018.0086,19127.6730,22346.3845,11198.2767,6367.7873,13718.0213,9992.5237,30319.7510,21805.6422,14975.4203,29925.7157,20717.4787,20992.9777,17005.6331,16792.3537,24395.2486,12913.2371,10329.1559,14239.7288,8589.8933,14311.0899,26980.5899,15117.3471,10701.2907,8919.1186,10346.2642,11865.1856,11621.8647,30765.5117,5428.9755,18252.9392,14199.8328,37874.2612,34008.0308,20919.5788,27390.7003,19614.7003,49849.8933,97480.3679,7980.2092,24067.0121,5207.4259,25495.8598,15197.2684,33928.2375,18178.0095,30229.2499,15071.3523,25716.7181,35880.8024,40711.8364,18753.3710,15290.2438,14542.0113,22997.9587,11909.7822
Lysine,1812.8307,618.3263,2242.8916,3658.5940,1001.3971,953.7117,841.2298,926.6652,595.4335,947.0007,1421.3434,2223.7349,5551.7488,3564.9561,1053.4658,3841.9829,2952.6345,4331.4602,692.0001,4590.3514,3349.5293,2725.2722,5556.8517,895.3863,2498.3087,2689.4975,4681.1707,20727.8596,8148.1150,5492.1788,16705.1978,9336.5129,7298.2403,8164.2006,2595.4480,1707.7733,1065.1069,2470.7244,1845.0882,727.3627,1281.3846,2322.5020,764.1324,2171.2422,776.4078,1076.5000,1784.3540,2570.3373,1992.9997,2323.3391,2452.1153,5717.3930,4219.6271,4889.9999,3979.7931,8381.5372,1726.3443,11614.9368,6007.2178,4426.8784,2306.6223,4907.7308,4860.5862,7004.0315,5186.6031,5119.2801,2440.6687,5650.7796,3333.5308,5968.7421,3581.6896,3609.5927,2664.5958,5656.5535,1584.1686
Malonic acid,100892.9544,82302.2846,154381.4311,155490.7791,134622.6833,144283.3658,112020.6287,144438.9109,104494.0259,91979.3606,120769.8877,126238.7349,213989.5676,131324.3704,139258.2391,202293.0911,226165.1787,205183.3817,92141.3786,161543.7420,246780.1104,190233.7073,235455.1694,104226.7404,245107.5357,218973.7147,230305.2321,410676.5457,179439.5757,136397.7919,583555.3247,311476.9606,255604.3592,318005.3830,242434.3256,85569.3537,78086.2895,138790.8318,160044.6622,131068.6024,287506.6825,181180.5407,101926.5462,111110.0343,101152.4794,97561.8329,136869.6095,190585.0316,168809.6650,143381.9710,144427.3644,157801.3821,367745.1113,233563.9805,93234.9562,215468.1617,229734.4152,356178.3570,161939.2237,139515.9680,260850.0282,274166.7446,225265.2231,278782.7868,184296.8453,148351.5568,232323.3014,168333.1034,223350.1240,276819.7915,291783.3634,288356.2249,191128.7833,297117.3615,150144.1957
Mannitol,316460.2980,265038.7196,524510.5242,461508.3478,289238.8947,481019.7356,267984.3268,457143.3924,251541.4748,337882.8659,393789.2588,2147604.5320,528784.1742,647187.0184,492223.5058,892151.7804,398531.3100,670426.7093,342906.5301,643116.6709,784443.0072,496603.4155,837360.4178,489117.6194,892567.2866,549867.7734,702183.5986,903208.2108,654772.1412,750848.6549,1064629.9550,1041899.2180,766665.9454,1138103.6050,610445.3155,266595.9317,247813.3657,485879.3031,403023.7740,287614.1024,443945.3228,542498.6896,363531.2854,433855.9533,83505.9531,464213.7102,398709.6732,637399.4136,519501.6167,467916.2357,507360.2431,639511.7093,1184392.0760,546588.5391,1120600.0280,790469.7411,489375.1146,1022521.0770,701229.8611,744417.0352,439845.5092,931786.7066,600270.4286,506380.5372,2214729.8880,456399.4270,613056.9222,487201.7774,793397.9462,837839.3794,573188.1119,1456199.8690,518006.9609,875905.4807,348813.6303
Methionine,3180.1809,2952.6934,5866.1549,5186.6249,4215.9958,4124.1696,3755.8514,5263.9894,3882.0129,4384.1740,4644.3007,4803.4681,6942.4273,6746.0856,3163.3778,6683.1167,10445.5009,7294.5640,2686.3296,10075.2225,7554.8196,6308.8395,7000.7315,3219.2344,6981.4313,8506.7899,7617.0311,25595.5654,8441.1934,8210.2655,18072.6842,13105.0619,14656.9406,9773.1298,5991.0225,4975.0580,2371.9901,5243.3632,4144.9601,6492.7996,7305.8166,6818.9079,4942.8659,7176.2890,3634.6492,4480.2990,8864.0228,8094.2600,3937.2086,5405.4876,6598.7556,6456.6828,9849.0446,6786.4035,5083.7821,13373.6519,6087.5069,12673.7687,7678.6272,12775.2558,6719.6218,11406.6136,10871.2918,10442.1268,5905.4870,9310.4207,7486.5692,11162.9457,7994.5229,14544.6652,7406.7073,8073.9554,6502.3607,8004.3841,7095.7569
methyl-beta-D-galactopyranoside ,28642.6472,43658.8054,47559.1721,28807.7491,47727.1832,57680.5898,43515.9675,73054.0929,81374.6088,72860.0360,47654.0918,69310.0064,77940.7243,43388.9871,21571.5517,37291.7514,48909.8726,75336.8046,32946.4583,125517.6648,124075.7613,68274.4702,106604.0277,60056.6428,90914.4038,74660.9515,77220.1185,171902.2362,151082.7199,50612.0231,98949.7431,93185.7982,85914.3537,115370.2105,63328.0410,32954.4820,24679.3467,66703.8584,87467.0712,50363.0727,48549.7300,83557.4173,86774.8246,66441.0338,47697.6285,46462.5725,91371.7076,78360.3306,72809.0801,33402.9703,36612.1966,123214.7610,84245.0433,50713.1025,8092.9286,46394.6087,63364.6504,110208.9081,80675.4282,162785.3042,79897.3983,68748.5555,4460.1515,84292.0969,5061.0476,30680.3705,75980.4029,48754.1574,100636.9801,114777.4232,86619.0966,117549.2966,79811.4275,120870.1127,59477.0840
MONOSACCHARIDES,5122525.7050,4274764.1890,9250156.7370,7989440.2660,5002296.3670,8377459.3370,4377421.1530,7730759.2550,4107385.2060,5373992.3000,6906087.4850,32921142.8400,9209845.6780,11203424.7700,8424433.1570,16198501.7500,8455759.3740,11487050.3900,5709436.4650,11298176.4600,13499050.5200,9106756.9980,15041465.6100,8615244.6760,16581369.8300,8831727.4680,12465653.7200,20550944.1500,11326277.3900,13594504.2900,22009417.2900,20196876.9100,15653947.8900,21272547.7300,11569837.1800,4465835.5760,3991285.4730,7952118.0030,6768901.2700,4902180.1910,11417281.3500,9537760.4990,6163750.6640,7596865.8430,3918043.1330,8037748.3710,7599795.5320,11348265.0400,8749592.0040,7887379.0290,8847707.3570,11297473.8900,21874092.7000,9506583.9780,19886076.5500,14105644.9200,7678367.3920,20057497.2400,12539773.3300,12880209.4000,9323252.6060,17449260.3400,10910910.5200,13686733.1900,33071644.3600,7791812.2560,10432858.9300,8658148.6010,14882699.8000,16578760.5200,9998337.5010,26678954.5100,8852726.3500,16798283.5900,6031009.8820
myo-inositol,7563.0528,6345.1830,7381.6077,9738.0793,9954.6785,9861.1120,5167.2840,7186.2654,4939.7790,8351.6749,8697.8958,10776.8929,13918.0786,17925.0667,8690.8803,9464.1386,11372.4814,17273.5004,7271.8732,18386.1767,18175.2190,26239.9779,20939.3334,10010.8119,15936.1828,11673.6296,14848.7891,27648.1524,19845.5580,19123.0053,31360.4298,29977.2837,21858.3103,30010.1032,18856.2411,5291.9702,5281.6895,11119.2172,9158.0026,8025.8316,14236.2025,13986.1761,7121.5426,13209.4707,6433.4567,7705.7597,10905.6945,12898.7611,9469.2858,8036.2925,11655.8387,17693.7247,18373.1424,13594.6308,20981.4055,17603.7325,13436.2813,31911.5019,15800.5753,30962.3887,9614.4630,16165.0931,14000.1434,15409.6418,25379.8878,12326.0630,9240.2107,14382.0634,24755.1796,41232.1295,16590.8121,18298.9527,10282.2661,21635.9815,8844.7836
N-methylalanine,10365.5811,7607.1663,11789.3617,10859.4397,5721.5668,14881.3465,10817.4679,6606.5223,6071.1151,14320.8008,11611.7210,22782.0149,22533.7472,13736.6205,7234.8624,19650.8874,24446.9662,15936.0093,9427.4691,26976.8600,29664.7877,22293.2100,20563.7549,7497.2810,28349.4222,19597.8685,29665.1329,82800.9875,35971.5949,21441.9468,54409.1163,39618.2745,21621.6574,36780.5664,20079.2748,11753.2811,7324.6692,13596.9521,12160.5842,8276.6849,21778.1853,13191.3664,8746.0173,14001.3490,9818.9293,12226.3656,17586.1429,18442.9010,7887.2172,13773.8516,12737.8555,22868.6874,39127.9701,28295.0246,23770.3502,31746.6037,16372.0477,36526.6145,21613.6131,18684.2761,19552.9020,33984.1409,23023.2899,57968.5466,22975.2155,22088.4966,31954.2086,31154.3236,19922.7836,47508.0752,20853.5424,19956.1734,14144.0640,28393.6252,14923.0822
Nonanoic acid,2211.0281,2051.8829,3241.7958,4617.8666,4407.4278,2430.2760,3241.9298,3106.2463,2566.6946,2303.6294,2387.0882,2010.0777,3922.0598,1849.8887,2174.5674,1951.1192,3532.3869,5631.0680,1312.0025,3164.1691,2341.6976,2115.7844,2880.7551,2319.0335,1677.1397,3335.3254,3519.2681,4993.1942,7835.5108,3261.6792,9959.0467,5367.1418,5099.1745,3873.6830,2778.1456,5605.2555,2504.1671,1599.4757,3000.1558,4244.0464,2299.6712,2310.0125,2310.1395,3810.8054,3875.8358,1363.0869,3688.1275,3593.3831,2439.2423,3438.3609,4043.0155,3027.5897,4649.6715,4478.9200,1151.2971,8084.2287,1480.5090,4594.8273,2783.4263,3211.7557,1953.5633,2203.6425,3138.2151,2386.8729,2719.4562,10871.1774,3329.4479,5530.4865,5607.7263,3931.3658,4371.5571,2687.8150,3156.2170,4607.4536,1470.4143
Oleic acid,41506.7024,22378.9599,21777.3566,26533.8489,10444.4236,20550.3577,25538.7030,14823.8258,14734.4056,44423.7417,10888.6472,67669.9688,23258.8545,67595.6195,74505.8069,66198.3170,30336.2372,16985.3586,17370.9408,21036.6944,44254.9330,57716.4751,28408.8130,13336.1825,36925.9177,22537.3690,75575.6835,47615.9458,37312.0209,72956.3171,46599.1039,44421.0676,39061.8687,38421.4425,58561.3955,28277.0771,27925.6399,34888.9106,19773.9462,29023.2441,62631.9786,34973.5858,25343.1925,18348.7869,25033.5090,33502.0484,25557.6030,69435.3996,12935.3538,52385.1941,36040.7987,94426.4631,83094.1127,49065.4483,65808.0692,41148.8673,119230.1988,228925.9965,21232.3318,60060.2039,12712.7424,48354.0973,34207.0337,79111.7538,37771.0065,74156.5642,34832.5957,60235.4088,77881.8147,98117.3255,44702.0736,39252.8753,32764.9134,50790.0886,31879.6161
Ornithine,18240.0827,13724.7607,21471.5956,28649.1786,18217.8429,18282.4110,8964.4822,21846.5745,13132.3694,16138.0660,24808.6552,29847.3056,65023.4820,33094.1235,17438.5198,27976.4699,27947.8750,49072.6926,13305.0751,34709.8197,44019.9084,45061.4112,73013.5089,11755.5446,38759.2940,39641.8354,36677.4019,191792.1798,83934.5617,31845.4575,251381.1657,160490.4527,101538.5351,114513.6542,37661.7254,20891.6629,11630.0729,26106.8487,22472.9503,14647.1507,27836.5104,37201.1115,16869.4457,22055.6387,17226.8920,16821.9326,23497.5361,32426.4086,34497.1282,24309.7249,27226.4684,56931.7101,81609.1044,45262.1747,30559.8209,45241.6255,22976.9990,109963.8949,47377.3210,52418.5895,32030.6008,79935.9676,78333.5496,122029.1235,41774.3939,48056.5441,36313.6317,40155.2374,58743.6256,146596.2956,70365.7131,65934.4443,31557.1482,115899.9869,24093.1947
Palmitic acid,62770.0690,41224.9986,49237.0369,60640.2460,39281.4930,48563.9949,41791.0020,43260.9812,30250.1833,57549.0027,35616.9989,100845.8909,41720.5097,83722.0039,81070.1038,84810.9965,48199.5310,41058.5077,36703.5660,40947.0090,61688.0029,77056.9106,41550.6900,39421.2123,51041.1220,48986.5795,94550.7797,65327.2556,50446.9466,93226.7918,73229.5758,80494.7970,64817.5297,52531.0021,68600.5101,43824.0509,43467.9530,51225.6770,39517.9987,48953.9818,67323.9789,72628.5119,43844.6728,43046.1287,49728.2955,46184.0022,46483.1673,85694.1529,40010.0019,73107.7075,73769.2483,89995.9195,87617.9640,69839.9173,104490.8762,70092.8093,100700.2351,204221.0096,47160.0022,95238.2118,44474.7481,88339.9210,57094.8388,100580.0860,80561.0038,66448.6549,74357.9968,96963.4845,87082.2467,143360.6928,61796.0029,64878.0300,59182.6885,75370.9946,40513.0339
Palmitoleic acid,2828.9247,1856.8775,1873.1104,1605.3272,1219.1675,1181.1148,1788.7706,413.6238,1386.3633,2511.5453,583.2608,2985.7457,1695.4741,3728.0984,2884.3622,2975.1988,928.4019,460.7635,1062.1620,846.6384,1691.8047,3160.2048,1724.9698,1454.3618,2260.7318,1325.6444,2710.2306,2548.0383,2506.4459,2479.9013,4045.9463,3881.0825,3681.0358,1188.8135,3555.2340,1603.4724,2625.6159,1361.5863,1517.0557,1926.6470,3339.5916,4106.4941,875.5174,1141.9822,906.1253,2436.6741,831.6429,1919.7583,1055.3454,3742.4436,2120.1807,3568.9222,3717.9980,3148.0693,3475.9504,2408.7802,7416.3598,15184.0792,1927.6320,4736.6696,1492.7311,2046.2098,2678.0148,4481.9288,3153.0911,4117.3746,2545.1589,5389.3293,4909.3690,3269.3194,2245.1411,3768.8403,2009.7129,2771.8877,1902.7992
p-cresol,7383.2954,4484.7926,2633.1999,5233.1925,2508.0858,3378.5132,5126.2424,2071.8196,3454.0297,1900.0907,5427.2606,4805.8452,7567.9789,1915.1351,3073.1084,4817.1344,5464.0392,3066.3445,3538.6133,11946.3623,6584.6607,2917.3329,7559.5567,3999.2501,5223.1472,9800.8182,2334.0454,3675.5978,8063.0476,4057.3600,2540.4607,10346.2034,7676.0792,3228.7393,13115.1012,7004.4838,1979.9805,10358.6748,2115.6739,9384.5571,3520.3228,1350.0188,2228.2528,4785.9262,4757.0523,5663.4893,5584.4474,5001.9864,4214.3268,4284.9485,9183.9750,6183.0518,1418.5367,2588.5362,4765.1094,7534.1727,2395.1994,7627.5449,6198.8443,1685.4375,6321.4988,5082.8974,7193.5941,3196.2276,8819.6855,3103.7071,5315.9299,3181.4009,5717.2950,2007.8757,1351.8542,5447.7997,2050.5607,5047.9471,3081.5445
Phenylalanine,13098.1517,16116.0348,13814.3907,12340.4437,7844.6725,11533.0107,16079.4445,17178.7156,11117.4320,17070.7867,11415.8466,22364.9814,18007.1232,18737.7045,15727.9322,24119.1790,16898.2629,21724.9546,15026.3888,15454.4008,21997.4238,19116.0738,18771.8429,12571.2694,21528.4924,20531.2824,22813.8792,19021.6493,15435.2927,19875.0371,14952.2346,20868.1579,15965.4329,22882.2718,9326.4445,6740.5746,11995.7554,17069.6951,14791.3239,13132.5946,16948.9253,20604.7754,13181.0950,17911.3542,10517.2405,19076.1648,19747.1751,16433.8034,15943.8670,16558.4586,16927.1496,17131.9735,21989.3510,14943.7084,16878.7102,15966.3907,13424.2990,16599.5195,25083.0796,21506.0618,15787.1029,19098.4802,16012.3052,15424.9949,21409.1833,10475.0770,15710.0525,19060.4429,19201.3658,14043.4180,16170.1568,23984.9090,17576.6441,17951.5563,11575.7688
Phosphoric acid,147272.5634,158724.3149,306770.6004,261336.2616,217117.7145,441258.9047,142642.8482,234397.4205,145914.1738,242462.5040,327769.6162,398623.7020,755882.7593,491709.8314,332699.3916,329761.8824,344345.2968,530341.0047,227515.1024,480422.8762,552238.2079,571084.4179,732175.4414,190208.7467,553469.2115,251313.3232,547119.7194,1944836.6660,528094.4497,367705.0753,1372428.6690,1018976.3990,1367007.4550,1017216.8780,663626.9298,235799.3005,151484.6008,234309.5937,363059.2368,186304.1421,720685.1395,504068.8372,219904.3223,239386.8985,222592.7424,291571.2635,320732.4806,416196.4015,465538.7370,429873.4033,587553.8880,465443.5186,1092018.0370,465187.3433,349261.9068,655961.4110,438224.7150,1167080.9740,445112.9828,952562.6865,491851.6886,643476.9365,1035577.8150,1246261.6140,382855.5838,472989.0921,544621.5643,477250.1729,959237.6639,1129154.6910,460858.3487,919043.9996,359651.3589,927039.6890,294111.7130
Proline,76514.7958,232882.6821,226443.8996,316364.2990,149135.9723,141174.4768,86303.5672,142003.9814,100576.5619,125177.1964,137795.6001,154705.8970,139974.9722,256230.1542,119480.8748,152224.3537,147562.4178,255589.2327,51781.9145,240243.3892,180713.3563,180369.7404,217977.4319,120084.6254,218794.6508,197362.1771,168949.0387,529045.3697,196768.0141,156656.3593,451617.3704,350688.4222,234702.4637,273408.8908,188065.5908,103807.3203,59738.7002,154448.3187,102658.2568,178012.4144,263635.5579,139211.7241,92942.2096,163372.7237,101129.0864,86939.0908,164006.6190,191451.5461,121457.4447,210637.9366,132541.6588,201772.3778,240750.5614,265037.6387,140573.4829,327031.6104,303121.2853,347972.9204,194077.5954,530491.6651,185238.8229,280716.9996,132795.9763,209185.0390,190615.8372,153802.1380,227639.7732,287157.5535,163941.3521,462901.4577,186808.3519,254815.6525,105677.5638,228981.8917,71906.0248
Pyruvic acid,29419.1923,14289.9964,58667.5671,37305.9171,20369.9090,25719.3824,23747.9634,20340.9720,36868.2251,22809.6922,20178.9969,41608.9250,57861.6161,31802.5973,41414.9624,52367.4810,36818.2101,36790.5900,17614.6885,18495,35795.4644,35953.5772,81996.7000,21134.9629,51504.0539,63564.0716,85798.4087,71064.5353,70989.8874,49553.2837,153608.5829,94024.0095,97518.6181,88261.7959,88375.6205,31083.1263,22915.3416,25076.7550,26761.8555,37504.1962,52552.7905,35449.5250,16311.3764,36393.5762,20177.5490,23839.9944,54848.2698,42186.1790,31498.3364,12935.1822,45065.7222,49091.5485,73820.6854,47552.9741,32381.0721,33164.6364,9248.2084,63028.1086,34597.6376,93217.5714,57557.0118,108780.3023,80206.1469,96573.1802,50041.0765,23854.6717,25134.2750,102316.8909,63762.6721,76584.6681,81779.3644,106108.3719,45898.5559,84546.3340,41750.0830
