Factors,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CASE,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL,Factor1:CONTROL
alpha tocophereol,14149.2946,13377.4838,18600.7139,12443.2088,10100.7604,16966.7948,12781.4722,11525.7306,12521.3782,16911.2978,13181.5611,16497.8759,18991.1817,14041.4143,14190.6178,11907.7045,20114.8196,19458.7448,13376.0264,23028.9500,21571.5134,23369.9317,15302.4073,22633.6692,18982.2230,18298.5966,13896.9729,27646.4252,18557.5727,20283.2618,21224.9768,23228.6801,20498.9981,24855.0813,17227.0682,18947.7500,14010.4663,14814.0989,15822.0069,10650.1918,16525.3999,16654.5412,19038.6023,15201.9307,18734.9384,16595.4606,15044.1587,19680.3051,13655.0148,16833.9160,20945.3316,17764.9395,20602.2370,19867.2508,21843.2698,18657.4314,15507.0580,24092.3129,15617.9100,20158.2829,16365.4864,17491.0419,22098.4762,22999.6968,14816.4513,10549.0785,16551.8139,30318.5057,20325.6953,17433.9396,19927.9802,17487.7205,21001.1341,22600.2281,14116.7363
Arachidonic acid,5865.0156,7017.6950,6242.0653,6017.8397,5305.8807,5628.0275,6212.3847,6436.1091,5617.2264,7634.1411,5238.0553,7635.7232,6871.7186,7333.9956,5403.5848,6854.5329,7523.5748,6417.1505,7476.1482,5340.2138,7862.4091,7007.1123,7200.0794,5187.1511,8414.5774,5561.3053,6383.9678,7227.5817,6307.6687,6610.2367,7276.1856,6567.2120,7537.4008,6631.3816,6922.4677,6303.0186,6166.3492,5966.7167,6333.4651,5328.2915,7405.3235,8054.5963,5105.0723,5897.3622,5272.0978,6647.8338,6031.9514,7062.3010,6238.3851,6011.6983,7085.4162,7156.1303,7225.1900,5925.5536,9224.4182,6730.4794,7800.2768,9099.8977,8522.7744,6515.7484,5535.2246,6076.6823,7951.0002,7368.8552,8592.3093,6096.3892,6057.0155,7394.3908,8458.8608,7197.7086,4892.7739,7453.0250,7278.0610,7996.5997,5758.8407
Asparagine,640.1990,318.2071,517.1605,1317.8469,658.5097,664.5966,137.8208,1251.7464,484.6082,776.4010,937.7640,746.9227,2154.4349,1034.6269,500.8286,1613.7556,1068.7167,1585.6425,857.8700,1495.3287,1440.0555,2212.1879,1501.5843,625.8852,1372.7409,1742.0863,1151.3978,6266.2619,2524.1004,1245.8154,6427.6330,3740.9261,3356.2357,2690.4737,1274.5798,787.6024,1025.5772,1128.4859,949.5456,797.5041,1685.8047,1306.8910,963.0707,982.1814,854.4262,748.9044,1374.8346,1609.0101,921.8064,1201.5115,1288.0165,1311.1706,2382.9177,1340.0950,758.8127,3168.8351,1109.6610,2736.3697,1278.4808,3825.6099,1224.9235,2382.1421,2932.1386,2395.3538,983.4169,3008.8657,1378.9357,1832.9412,1283.6771,3272.4838,921.2595,2068.9246,1391.0607,4407.5526,975.3645
Beta-alanine,7374.5746,6728.7557,14904.7526,17453.0923,13891.2802,10336.3646,6432.2157,9715.1241,8018.4222,11571.5245,9436.4152,10770.6278,20053.3265,14290.4883,11618.4404,15608.2717,23104.7093,20440.2879,7101.1782,33204.8961,19870.3161,22213.0589,17951.4037,8021.2990,19557.8903,21332.8558,20226.4756,116297.3578,28946.8743,19502.0794,51931.2063,37408.1600,42872.2367,33787.1062,16771.3444,12505.2199,5419.2901,12014.7111,10021.7481,11519.5200,16163.5651,14816.9589,16421.6534,20232.8257,8232.2078,11866.2126,22585.5619,22707.8555,10443.9034,14126.9189,14423.7549,17544.8506,27625.1648,21825.2041,13725.2320,37470.7231,16827.0203,37630.6716,22628.5941,30636.4023,20973.3653,29358.6667,40429.9833,31437.5419,18836.5700,28608.2418,17535.7930,37884.2472,23378.7726,45055.0158,18791.8290,22331.9045,18050.8767,28208.9753,15407.5622
Cholesterol,141320.5051,155268.4096,164598.2447,193854.7060,130656.0763,150337.2750,123691.3951,106726.9485,162581.1274,213084.6873,138033.7537,208748.8264,163649.0874,145173.8568,174300.1192,155097.3283,148192.2315,208231.1163,138697.9291,233300.2691,237769.8489,216195.9462,123183.2236,186205.7912,170992.4345,123427.5935,157056.5946,204269.3491,178666.3438,179567.3154,169384.8921,190495.7590,177732.0195,219779.7071,182149.1386,201024.2581,122863.1700,148395.1951,150879.3795,88160.6899,156603.4234,181840.0302,188638.0039,161412.5781,158688.8494,163434.1786,164427.4443,194110.8076,118719.0062,160424.4570,221857.7223,196212.6989,170308.0707,228686.1987,203063.7922,201626.9754,170874.5869,263629.3475,158379.1299,226460.2850,163734.6183,137833.9740,157780.3246,179616.4541,168443.4133,131152.5017,163291.1135,249870.3200,163312.2517,201404.3998,225982.4905,216846.5267,190045.1343,211955.2879,164564.7289
Citramalic acid,3698.7117,3660.1521,4934.7919,4402.1381,5358.7141,4137.7610,3618.6351,4811.9767,4246.2357,3316.8807,4397.5739,5768.6040,7374.6527,4696.5505,4653.6068,4720.0591,5192.8905,6111.5847,3538.0118,5962.0208,8083.7051,5072.8394,6310.4745,3387.8277,7115.6485,7472.3787,6426.4528,10252.4584,7439.8899,5002.8556,15590.9769,8808.0596,7831.1683,8396.5856,6835.7353,3719.0376,2205.6099,5217.8888,4755.1906,4626.2425,6187.6714,6318.2184,4001.3224,4026.3382,3812.5568,4493.5879,4643.5734,6287.0635,4131.1614,4811.4310,4058.4550,5633.7753,7908.7719,6722.4270,5801.2200,7758.7597,5559.1657,8418.2502,5561.2068,5325.4518,6139.2405,9511.5172,7556.7445,8107.1204,6540.3858,5983.4992,5370.0858,7144.7007,7457.6265,9411.8540,9277.0293,7184.2788,5136.6077,8274.2948,4087.9331
Creatinine,15055.4646,15028.1760,19018.4375,16692.5349,14118.6749,20294.8585,16379.2599,23788.4992,8819.5854,16577.2800,14918.9109,11692.1193,26456.3023,21962.3770,16126.8100,20548.0709,15624.8811,40719.1042,17621.0485,28301.9123,30918.3826,35444.8585,31127.7763,14069.0984,19734.4936,37123.5490,18085.1212,43842.7954,33129.3415,25811.8595,41840.4533,60609.7300,27002.3249,43298.7557,25768.7665,13990.5269,14052.7335,23857.7386,20437.8824,17458.5916,12105.2206,18643.0946,9769.3493,16468.2188,16281.9164,15250.1052,20619.2330,19157.8725,15645.0130,23361.7074,23941.8353,27542.9869,38305.1572,21484.9747,17660.0383,28768.4624,23736.3155,29323.6652,31403.3460,40346.7858,15698.6891,31473.8369,13737.6599,18365.8167,27679.6540,21404.3171,34608.3379,16142.6679,36197.0741,38670.2268,24590.4966,25787.1978,22244.5398,37939.4811,14971.9994
Fructose,7887.9609,6712.8625,10114.7563,6020.6401,12634.3697,13168.7446,7161.1092,11097.7769,9088.9408,8498.5993,8946.5012,38449.3682,18948.4984,13458.6360,8833.9436,17790.8311,17524.2951,19033.8884,8045.6580,20027.5912,19042.1628,12890.4818,23125.7412,8353.5052,26022.8609,15827.3732,21879.0329,22718.3310,15986.8250,17230.6692,20149.3325,31719.7285,17748.0203,32389.5256,17332.5763,7991.4114,5234.5749,17715.4641,9138.0578,8806.0796,17179.1736,12649.9260,6334.6614,13651.2252,3711.0283,12085.9361,6694.0313,15059.8300,12645.5523,15040.1402,10497.1700,21237.5859,23295.9153,15903.1840,27110.8130,21451.6670,14426.6168,27260.0591,19449.7987,13601.0400,17166.6425,24578.6310,31167.9700,36193.9514,49256.5229,11211.4538,20458.0429,10747.5315,15667.9726,26056.7274,18340.3843,47282.8428,18753.7166,19231.8043,10393.3812
Glutamic acid,35805.3154,42571.4840,70631.1398,62221.3466,51421.0506,45646.7832,39139.6565,43799.1624,43336.3830,43613.0232,43865.0694,49180.8114,51287.7434,47422.8465,42881.5434,43867.6804,48570.6216,64278.4429,34550.1631,68456.5181,47177.6650,75741.2440,49277.4817,40055.9980,50949.7114,57775.1162,44720.2589,70838.6039,78885.4835,56244.9524,74293.4576,49018.9684,61049.7012,61437.4848,16572.9525,48114.8931,29849.0474,44457.2347,50045.2076,49921.3292,56417.6834,46357.5641,35382.4102,71028.1210,33051.2060,40893.3483,60742.5440,60209.0429,37239.3313,44877.1034,53152.6221,60242.9356,43161.1120,52911.0974,42905.5222,76401.0675,58326.4412,68590.9184,57574.4642,67642.2811,55740.2554,56491.2539,62768.4245,81191.2251,52450.8191,78351.8609,50251.2195,67643.7446,56396.4527,90793.8446,60066.5998,45658.8605,50656.9628,61709.1432,45825.8458
Glutamine,8946.3012,8759.0104,21289.5857,22596.2188,18024.3509,14335.4122,5927.4522,12823.8793,9838.8753,11035.3362,13292.2952,13529.6723,21434.1576,19205.4101,13205.5290,16561.1282,18985.0574,17266.2759,7491.0781,25662.5819,22144.1120,17961.6348,26441.6435,9628.3994,10862.9224,12890.9620,19675.7120,98474.1980,29476.5516,17497.2913,68201.9285,38101.1969,44054.1821,25213.6287,1737.5904,23591.7632,5479.3156,14584.4229,11639.1032,11741.8287,24894.4175,10338.3541,17777.5012,17652.5136,10344.9210,13164.9202,19258.8285,24407.4353,14632.4301,15384.2064,18542.3710,21895.0590,28521.8262,19609.1828,13158.1987,47396.8351,9290.5093,65049.1580,17288.0683,27488.0945,20532.2744,22120.9909,34479.5500,31275.0448,10523.5026,39548.3482,20394.9530,26958.3684,17921.6215,68112.0215,18796.5085,24465.1717,12418.8818,28848.3980,16018.2223
